Year,Countries,Values
2003,Czechia,1141.8576
2004,Czechia,1017.8503
2005,Czechia,1040.0017
2006,Czechia,1063.4319
2007,Czechia,1052.1761
2008,Czechia,998.266
2009,Czechia,1005.1011
2010,Czechia,1001.6422
2011,Czechia,1113.8966
2012,Czechia,1073.7893
2013,Czechia,917.4399
2014,Czechia,1005.3872
2015,Czechia,1061.7507
1986,Germany,865.5935
1987,Germany,799.46
1988,Germany,813.7609
1989,Germany,886.9767
1990,Germany,880.4222
1991,Germany,906.4956999999999
1992,Germany,884.4731
1993,Germany,842.5967
1994,Germany,854.9092
1995,Germany,831.6034
1996,Germany,813.8552999999999
1997,Germany,894.1941
1998,Germany,786.9895
1999,Germany,861.6209
2000,Germany,840.6438
2001,Germany,823.7206
2002,Germany,833.5546
2003,Germany,978.0981
2004,Germany,860.5874
2005,Germany,861.2886
2006,Germany,858.7424
2007,Germany,867.131
2008,Germany,837.135
2009,Germany,853.2549
2010,Germany,834.1596
2011,Germany,939.1433
2012,Germany,866.4021
2013,Germany,767.336
2014,Germany,867.6661
2015,Germany,894.5039
1986,Denmark,925.5727
1987,Denmark,858.9831
1988,Denmark,894.9297
1989,Denmark,962.481
1990,Denmark,950.3186
1991,Denmark,945.3705
1992,Denmark,979.842
1993,Denmark,902.468
1994,Denmark,917.9612
1995,Denmark,962.919
1996,Denmark,908.5714
1997,Denmark,971.728
1998,Denmark,836.7319
1999,Denmark,927.6922
2000,Denmark,877.7208
2001,Denmark,892.4033
2002,Denmark,952.7673
2003,Denmark,999.5936
2004,Denmark,961.3557
2005,Denmark,965.4053
2006,Denmark,888.6371
2007,Denmark,949.0641
2008,Denmark,947.8491
2009,Denmark,964.1514
2010,Denmark,917.4097
2011,Denmark,941.4712
2012,Denmark,907.3328
2013,Denmark,923.434
2014,Denmark,946.002
2015,Denmark,931.5168
1986,Estonia,805.3881
1987,Estonia,773.0537
1988,Estonia,739.5963
1989,Estonia,749.2216
1990,Estonia,759.7721
1991,Estonia,753.727
1992,Estonia,767.5283
1993,Estonia,758.7727
1994,Estonia,792.4266
1995,Estonia,774.9846
1996,Estonia,799.7598
1997,Estonia,811.8907
1998,Estonia,753.8902
1999,Estonia,826.231
2000,Estonia,801.9448
2001,Estonia,765.5945
2002,Estonia,896.1199
2003,Estonia,754.2538
2004,Estonia,755.9496
2005,Estonia,794.3947000000001
2006,Estonia,828.6443
2007,Estonia,797.4967
2008,Estonia,706.325
2009,Estonia,762.6605
2010,Estonia,773.7904
2011,Estonia,838.358
2012,Estonia,730.6725
2013,Estonia,792.8814
2014,Estonia,801.8974
2015,Estonia,776.4607
1986,Spain,1500.8641
1987,Spain,1465.4392
1988,Spain,1470.2795
1989,Spain,1499.2574
1990,Spain,1510.4435
1991,Spain,1500.2321
1992,Spain,1513.386
1993,Spain,1495.4048
1994,Spain,1511.3885
1995,Spain,1538.1156
1996,Spain,1474.5239
1997,Spain,1503.6936
1998,Spain,1534.9075
